"Date","Price","Open","High","Low","Change %"
"Jul 20, 2018","111.41","112.46","112.63","111.39","-0.94%"
"Jul 19, 2018","112.47","112.86","113.17","112.06","-0.35%"
"Jul 18, 2018","112.86","112.89","113.16","112.72","-0.01%"
"Jul 17, 2018","112.87","112.29","112.94","112.22","0.51%"
"Jul 16, 2018","112.30","112.36","112.56","112.19","-0.09%"
"Jul 15, 2018","112.40","112.22","112.47","112.21","0.02%"
"Jul 13, 2018","112.38","112.56","112.81","112.28","-0.16%"
"Jul 12, 2018","112.56","112.02","112.64","111.91","0.48%"
"Jul 11, 2018","112.02","110.98","112.19","110.77","0.92%"
"Jul 10, 2018","111.00","110.86","111.36","110.80","0.14%"
"Jul 09, 2018","110.85","110.50","110.91","110.31","0.37%"
"Jul 08, 2018","110.44","110.42","110.47","110.40","-0.02%"
"Jul 06, 2018","110.46","110.62","110.79","110.36","-0.14%"
"Jul 05, 2018","110.62","110.47","110.72","110.30","0.14%"
"Jul 04, 2018","110.47","110.61","110.64","110.28","-0.11%"
"Jul 03, 2018","110.59","110.91","111.14","110.50","-0.27%"
"Jul 02, 2018","110.89","110.67","111.06","110.48","0.14%"
"Jul 01, 2018","110.73","110.62","110.84","110.62","0.05%"
"Jun 29, 2018","110.68","110.49","110.95","110.39","0.16%"
"Jun 28, 2018","110.50","110.25","110.66","109.97","0.22%"
"Jun 27, 2018","110.26","110.06","110.49","109.68","0.18%"
"Jun 26, 2018","110.06","109.75","110.22","109.36","0.26%"
"Jun 25, 2018","109.78","109.92","110.03","109.36","-0.15%"
"Jun 24, 2018","109.94","109.83","110.03","109.82","-0.03%"
"Jun 22, 2018","109.97","109.98","110.22","109.79","-0.03%"
